32	32	27	22	22	17	11	11	6	1	1	2	2	3	3	9	9	14	15	20	25	25	30	35	34	34	33	33	33	27
31	31	26	21	16	11	6	1	1	2	3	3	4	9	10	15	20	25	30	35	35	34	33	33	32	27	21	21	16	11
22	21	16	16	11	6	1	2	2	3	3	4	9	9	14	20	20	25	30	35	34	34	33	33	32	32	27	21	21	16
32	32	26	26	21	16	11	11	6	1	2	2	3	3	4	4	10	15	15	20	25	30	30	34	34	33	33	32	32	27
21	16	11	11	6	6	1	2	2	3	3	9	9	10	15	15	20	20	25	25	30	29	34	34	33	33	32	32	26	26
32	32	32	27	27	22	16	16	11	6	1	1	2	2	3	3	9	9	14	20	20	25	30	30	29	29	28	28	27	22
27	26	26	21	16	11	6	1	2	2	3	3	4	9	15	15	20	25	30	34	34	34	33	32	32	27	22	17	12	7
21	21	16	11	6	6	1	1	2	2	3	3	9	9	10	15	15	20	25	25	30	35	34	34	33	33	28	27	22	22
32	31	26	21	21	16	11	6	1	1	2	2	3	3	4	9	10	15	20	20	25	30	29	34	34	33	32	32	31	26
29	34	34	33	32	32	26	26	21	16	11	6	1	1	2	3	3	4	9	10	15	20	25	25	30	34	33	33	27	27
22	28	27	32	26	26	21	16	11	6	7	2	2	3	3	4	9	14	15	20	25	30	35	34	34	33	33	32	32	26
33	33	32	32	27	22	22	16	11	11	6	1	2	2	3	3	3	4	9	14	15	20	25	25	30	29	34	33	33	32
33	32	32	27	21	21	16	11	11	6	7	2	2	3	3	4	9	9	15	15	20	25	25	29	34	34	33	33	33	27
33	33	32	32	27	26	21	16	16	11	6	1	1	2	2	3	3	4	9	10	10	15	20	25	25	30	35	35	34	34
22	27	32	33	33	32	27	22	22	16	11	6	1	2	2	3	3	4	9	14	15	20	25	30	29	34	33	33	27	27
32	32	27	27	22	16	16	11	6	6	1	2	2	2	3	3	4	9	9	15	20	20	25	30	29	34	34	33	33	32
28	34	34	33	33	27	22	22	17	12	7	7	2	2	2	3	8	9	14	19	19	24	29	29	34	34	33	28	28	22
22	27	27	22	17	17	12	12	7	2	2	2	3	3	3	8	14	14	19	19	24	29	29	34	34	34	33	33	28	28
27	27	26	21	16	16	11	6	7	2	2	3	3	4	4	9	15	15	20	25	25	30	34	34	34	33	33	32	32	27
11	6	6	1	2	2	3	8	9	9	15	15	20	20	25	30	30	30	34	34	33	33	27	27	26	21	16	16	11	6
33	33	33	33	27	27	22	17	16	11	11	7	2	2	2	3	3	4	9	9	14	19	19	25	30	30	34	34	28	28
27	27	22	21	16	11	6	6	2	2	3	3	4	9	9	15	20	20	25	30	35	34	34	33	33	32	27	27	21	21
24	28	28	27	27	21	16	11	11	6	1	2	2	3	3	4	9	15	15	20	25	30	35	35	34	33	33	32	27	22
27	27	26	21	21	16	11	6	6	2	2	3	3	3	9	9	14	19	20	25	30	30	34	34	34	33	28	28	23	18
32	32	32	27	21	16	16	11	6	1	2	2	3	4	4	10	10	15	20	25	30	30	34	33	33	32	27	26	21	16
27	27	22	17	12	7	7	2	3	3	4	9	9	14	20	25	30	30	34	34	33	33	27	27	22	16	16	11	6	1
